date,current_snapshot,opponent,wins,total,win_pct
2026-09-01T19:07:45-07:00,g_iter7,g_iter1,18,20,90.0
2026-09-02T09:36:23-07:00,g_iter10,g_iter1,17,20,85.0
2026-09-02T12:54:19-07:00,g_iter11,g_iter1,16,20,80.0
2026-09-02T16:09:39-07:00,g_iter12,g_iter1,16,20,80.0
2026-09-02T16:09:39-07:00,g_iter12,g_iter11,14,20,70.0
2026-09-02T16:43:51-07:00,g_iter13,g_iter1,17,20,85.0
2026-09-02T16:43:51-07:00,g_iter13,g_iter11,18,20,90.0
2026-09-02T16:52:56-07:00,g_iter14,g_iter1,19,20,95.0
2026-09-02T16:52:56-07:00,g_iter14,g_iter11,20,20,100.0
2026-09-03T04:40:01-07:00,g_iter15,g_iter1,46,54,85.2
2026-09-03T04:40:01-07:00,g_iter15,g_iter11,49,54,90.7
2026-09-03T05:41:06-07:00,g_iter16,g_iter1,48,54,88.9
2026-09-03T05:41:06-07:00,g_iter16,g_iter11,47,54,87.0
2026-09-03T09:39:04-07:00,g_iter17,g_iter1,49,54,90.7
2026-09-03T09:39:04-07:00,g_iter17,g_iter11,46,54,85.2
2026-09-03T10:29:08-07:00,g_iter18,g_iter1,46,54,85.2
2026-09-03T10:29:08-07:00,g_iter18,g_iter11,46,54,85.2
2026-09-03T11:09:51-07:00,g_iter19,g_iter1,46,54,85.2
2026-09-03T11:09:51-07:00,g_iter19,g_iter11,46,54,85.2
2026-09-03T13:43:48-07:00,g_iter20,g_iter1,46,54,85.2
2026-09-03T13:43:48-07:00,g_iter20,g_iter11,49,54,90.7
2026-09-03T15:25:00-07:00,g_iter21,g_iter1,49,54,90.7
2026-09-03T15:25:00-07:00,g_iter21,g_iter11,50,54,92.6
2026-09-04T03:11:56-07:00,g_iter22,g_iter1,48,54,88.9
2026-09-04T03:11:56-07:00,g_iter22,g_iter11,50,54,92.6
2026-09-04T03:22:39-07:00,g_iter22,g_iter21,28,54,51.9
2026-09-04T09:16:14-07:00,g_iter23,g_iter1,49,54,90.7
2026-09-04T09:16:14-07:00,g_iter23,g_iter11,51,54,94.4
2026-09-04T09:16:14-07:00,g_iter23,g_iter21,29,54,53.7
2026-09-04T09:16:14-07:00,g_iter23,g_iter6,45,54,83.3
2026-09-04T09:16:14-07:00,g_iter23,g_iter16,26,54,48.1
2026-09-04T12:45:30-07:00,g_iter24,g_iter1,49,54,90.7
2026-09-04T12:45:30-07:00,g_iter24,g_iter6,45,54,83.3
2026-09-04T12:45:30-07:00,g_iter24,g_iter11,51,54,94.4
2026-09-04T12:45:30-07:00,g_iter24,g_iter16,33,54,61.1
2026-09-04T12:45:30-07:00,g_iter24,g_iter21,34,54,63.0
2026-09-04T16:10:32-07:00,g_iter25,g_iter1,51,54,94.4
2026-09-04T16:10:32-07:00,g_iter25,g_iter6,50,54,92.6
2026-09-04T16:10:32-07:00,g_iter25,g_iter11,50,54,92.6
2026-09-04T16:10:32-07:00,g_iter25,g_iter16,38,54,70.4
2026-09-04T16:10:32-07:00,g_iter25,g_iter21,43,54,79.6
2026-09-04T18:23:47-07:00,g_iter26,g_iter1,51,54,94.4
2026-09-04T18:23:47-07:00,g_iter26,g_iter6,51,54,94.4
2026-09-04T18:23:47-07:00,g_iter26,g_iter11,50,54,92.6
2026-09-04T18:23:47-07:00,g_iter26,g_iter16,38,54,70.4
2026-09-04T18:23:47-07:00,g_iter26,g_iter21,42,54,77.8
2026-09-05T07:11:21-07:00,g_iter27,g_iter1,51,54,94.4
2026-09-05T07:11:21-07:00,g_iter27,g_iter11,51,54,94.4
2026-09-05T07:11:21-07:00,g_iter27,g_iter26,30,54,55.6
2026-09-05T10:52:58-07:00,g_iter28,g_iter1,54,54,100.0
2026-09-05T10:52:58-07:00,g_iter28,g_iter11,53,54,98.1
2026-09-05T10:52:58-07:00,g_iter28,g_iter6,52,54,96.3
2026-09-05T10:52:58-07:00,g_iter28,g_iter16,47,54,87.0
2026-09-05T10:52:58-07:00,g_iter28,g_iter21,47,54,87.0
2026-09-05T10:52:58-07:00,g_iter28,g_iter26,35,54,64.8
2026-09-05T11:44:53-07:00,g_iter29,g_iter1,54,54,100.0
2026-09-05T11:44:53-07:00,g_iter29,g_iter6,52,54,96.3
2026-09-05T11:44:53-07:00,g_iter29,g_iter11,53,54,98.1
2026-09-05T11:44:53-07:00,g_iter29,g_iter16,49,54,90.7
2026-09-05T11:44:53-07:00,g_iter29,g_iter21,47,54,87.0
2026-09-05T11:44:53-07:00,g_iter29,g_iter26,36,54,66.7
